"","FileName","Sex","Treatment","Age","MouseID","Timepoint","SusCage","SusTech","Conc","RQN","A260_230","A260_280","ratio28s_18s","input_reads","uniquely_mapped","multi_mapped","unmapped","annotated","unannotated","PassesQC","B cell","T cell","NK cell","Neutrophil","Macrophage/Monocyte"
"1","1_2","F","C","1.8YO","c01m2","T1","No","No",184.0064,5.2,2.081,2.057,0.8,54432556,24278433,12631953,17516499,25182851,4635183,TRUE,3.6181135259135,0.875203030467286,0.132377348343851,0.0574569927846155,1.37653702885658
"2","10_2","F","C","1.8YO","c10m2","T1","No","No",7.5798,1.3,1.091,1.882,0,73288061,43338507,8672008,21261873,30841707,17947431,TRUE,5.24855558315977,1.98396694469672,0.386773405847077,0.609503402573874,2.96060801800371
"3","10_3","F","C","1.8YO","c10m3","T1","No","No",13.477,3.4,1.46,1.983,0.7,67549715,40346713,13900410,13283757,35530089,10904045,TRUE,2.41802721722995,2.64972909692681,0.16671164460146,0.0940870629255105,0.609458928903908
"4","11_2","M","F","1.8YO","c11m2","T1","No","No",5.9855,1.4,1.383,2.103,0,74668898,42365384,12474729,19818006,37728319,13455004,TRUE,6.14947061741233,2.54158943778005,0.75031878786273,0,1.378447924188
"5","11_3","M","F","1.8YO","c11m3","T1","No","No",21.8007,2.4,1.074,2.054,0.5,75812424,33979697,12427924,29399188,29482521,11642301,TRUE,3.04029964765234,0.910042275934107,0.178717452097373,0.152525877556818,1.27357008546191
"6","12_1","M","F","1.8YO","c12m1","T1","No","No",8.2758,1.6,1.303,1.854,0,53721054,32560283,5970469,15175935,22977390,13136325,TRUE,6.43487052302411,3.56186049269084,3.16057546243515,0.423813115587818,1.80705228167001
"7","14_1","M","F","1.8YO","c14m1","T1","No","No",10.4147,1.2,1.262,2.123,0,73819984,34399775,9708022,29703762,24595688,16712194,TRUE,6.51988920149856,2.51579453143403,1.06729855414182,0,1.92065329953061
"8","14_2","M","F","1.8YO","c14m2","T1","No","No",5.0898,2,0.413,2.059,0,63299622,28854852,9752425,24685939,22727757,11924104,TRUE,4.74714689818199,1.19601895984179,1.08625698048206,0,0.127608562293526
"9","14_3","M","F","1.8YO","c14m3","T1","No","No",12.4281,2,0.853,1.84,0,64791282,33148148,7980346,23647886,27845430,9072279,TRUE,5.86404220979261,2.24524371948507,0.96052084546288,0,0.517419917042451
"10","15_2","M","F","1.8YO","c15m2","T1","No","No",18.249,3.3,1.389,2.041,0.6,67360601,36248630,13516159,17585315,32494254,10787372,TRUE,4.27351843662475,1.12657158876583,0.813472298869642,0.175701495673583,0.943348085148085
"11","15_3","M","F","1.8YO","c15m3","T1","No","No",7.1446,3.7,0.682,1.764,0.9,77260646,37733246,19333264,20185200,38021022,9532226,TRUE,4.01873191927563,0.713926882142381,0.324299071489868,0.165804886908893,0.627985000859731
"12","16_3","M","F","1.8YO","c16m3","T1","No","No",13.2902,4.5,1.221,2.082,0.6,68694811,45968117,11575634,11132752,39903454,12493245,TRUE,5.23395634910225,2.65634621377021,1.89918064248779,0.269269049612695,3.10239061740275
"13","17_2","M","F","1.8YO","c17m2","T1","No","No",12.7141,2.1,0.439,2.024,0.8,59301197,32149074,9027476,18112947,27092896,10243006,TRUE,5.2662122737763,1.66301930598,1.18911073956278,0,2.53117260119197
"14","17_3","M","F","1.8YO","c17m3","T1","No","No",10.2168,1.6,1.116,1.949,0.8,67094236,36690809,8682402,21708504,27506345,14284623,TRUE,4.98412796353735,2.47954926311911,0.659441025340244,0.575306006486035,1.55323232227541
"15","18_3","M","F","1.8YO","c18m3","T1","No","No",7.3866,1.2,0.795,1.921,0,70075863,39085147,9368521,21610953,30395731,14692769,TRUE,5.86323125016057,1.45909114036176,0.878669889938021,0.127338967060142,1.25479442259391
"16","2_1","F","C","1.8YO","c02m1","T1","No","No",7.8382,3.4,0.981,1.881,0.7,59958711,38786699,10824250,10333859,33833591,10092997,TRUE,4.51754275523431,1.9562589687568,0.963604256588953,0.0630010611786921,1.17876080410671
"17","2_2","F","C","1.8YO","c02m2","T1","No","No",12.2505,2.6,0.481,1.913,1.6,73789183,27926680,16737562,29121760,29235483,7395371,TRUE,2.17172538652655,0.381412394915048,0,0.0531314170772102,1.01350963090943
"18","2_3","F","C","1.8YO","c02m3","T1","No","No",10.578,2.2,0.091,2.061,0.5,58419176,36698004,6904134,14802707,28530114,12251145,TRUE,5.12484979742308,2.35542135688927,1.17632181071611,0,2.68665162655835
"19","2_4","F","C","1.8YO","c02m4","T1","No","No",48.7726,4,0.423,2.042,0.3,59618210,35341862,8226762,16036610,29856900,9835530,TRUE,5.03271635280709,1.94909800091875,0.603556928039644,0,2.4522013789283
"20","20_1","F","F","1.8YO","c20m1","T1","No","No",198.5748,2,0.315,2.108,0.4,64605019,20820901,8152543,35629162,14643730,11476998,TRUE,1.44100607254294,0.433237764995521,0.885395102702349,0,2.21934922086073
"21","20_2","F","F","1.8YO","c20m2","T1","No","No",22.2491,3.2,1.084,2.03,0.6,56693050,28679399,13207045,14799757,27150364,7533881,TRUE,3.72240620869333,0.825372207522218,0.125045262049599,0,0.122313058050649
"22","21_1","F","F","1.8YO","c21m1","T1","No","No",25.9651,6.4,0.124,2.121,0.9,63609298,33761359,16036794,13803150,35037858,5651800,TRUE,2.13758821896071,1.75783905619342,0.462624678375547,0.0422393200168873,1.9703121575617
"23","21_2","F","F","1.8YO","c21m2","T1","No","No",14.03,1.1,0.307,2.04,0,60386882,29599175,7562280,23218061,18960013,15255596,TRUE,2.43295990148255,2.33657693214659,0.251062653048407,0.14348650843652,2.60303749983823
"24","21_3","F","F","1.8YO","c21m3","T1","No","No",27.9373,2.8,0.667,2.136,0.7,60753120,30039252,13247823,17457031,26891742,9474463,TRUE,2.89399952803771,1.35671785880979,0.188517952788796,0.0562801925830014,0.833134838553596
"25","22_2","F","F","1.8YO","c22m2","T1","No","No",24.2643,2.6,1.307,2.009,0.2,60471942,40901454,8762564,10787286,32491700,12476645,TRUE,5.43597909267078,1.30246909423184,0.952802354300261,0,0.636594955330229
"26","22_4","F","F","1.8YO","c22m4","T1","No","No",15.0833,2.1,1.456,2.007,0.4,60617611,31147781,10982049,18481102,24158443,12912585,TRUE,4.10126664760283,0.816437023877034,0.178493306916051,0,1.31986684705571
"27","24_2","F","F","1.8YO","c24m2","T1","No","No",7.7322,1.4,0.717,1.747,0,56880205,28537005,7263944,21067731,22295141,10870789,TRUE,5.80180168356457,2.94854647209573,0.963289288842483,0.177117176987808,2.50578970541737
"28","24_4","F","F","1.8YO","c24m4","T1","No","No",20.6904,3,0.735,2.047,0.3,62420587,35211423,12471277,14725024,30743856,10491156,TRUE,4.22576104115334,1.44283893449068,0.438639766314735,0,0.829745778918575
"29","3_2","M","C","1.8YO","c03m2","T1","No","No",11.8015,1.1,1.4,2.18,0,71490810,28150257,7743935,35592270,18381528,15375893,TRUE,5.46876467804498,2.21790266481156,0.977172065992282,0,2.10864274411408
"30","3_3","M","C","1.8YO","c03m3","T1","No","No",15.7218,2.7,0.335,2.178,0.8,65383601,26808206,12647030,25926036,25165951,8637634,TRUE,1.41661989497076,0.176662447736771,0,0.337317968567023,1.90290838155486
"31","4_1","M","C","1.8YO","c04m1","T1","No","No",148.3748,4.8,1.721,2.073,0.4,51371281,25593291,14488823,11283932,27022801,4668464,TRUE,1.77163463222654,0.396466343739555,0.390051477940356,0.179772009452321,0.364631644921465
"32","4_3","M","C","1.8YO","c04m3","T1","No","No",22.207,2.3,1.477,2.11,0.5,65868239,34463467,11001428,20398717,28226433,12423638,TRUE,2.80979796919674,0.663257275686327,0.143580540129033,0,1.89827681089719
"33","5_1","M","C","1.8YO","c05m1","T1","No","No",11.7746,2.6,1.228,2.277,0.9,75143951,38904842,13508442,22720202,34412536,12163187,TRUE,4.75268585051095,1.51520798100584,0.665436009482871,0.137776115475499,0.901915720961057
"34","5_2","M","C","1.8YO","c05m2","T1","No","No",34.6779,4.9,1.897,2.116,0.7,64365081,32389532,16654058,15313956,32496769,6919559,TRUE,3.48225503815295,0.718929403428916,0.608782840657863,0.157718880422346,0.137671303615182
"35","9_2","F","C","1.8YO","c09m2","T1","No","No",10.2138,1.3,1.232,1.942,0,58200998,28605771,7109706,22476559,19922637,13670508,TRUE,6.43234388284978,2.86886045015468,0.508276629352788,0.23945105602494,1.57634884495741
